date,GLD,SLV,USO,UNG,FXE,FXB,FXY,FXA,FXC,FXF,IEF,TLT,SPY,QQQ
2014-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-03,,,,,,,,,,,,,,
2014-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-07,,,,,,,,,,,,,,
2014-01-08,,,,,,,,,,,,,,
2014-01-09,,,,,,,,,,,,,,
2014-01-10,,,,,,,,,,,,,,
2014-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-14,,,,,,,,,,,,,,
2014-01-15,,,,,,,,,,,,,,
2014-01-16,,,,,,,,,,,,,,
2014-01-17,,,,,,,,,,,,,,
2014-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-22,,,,,,,,,,,,,,
2014-01-23,,,,,,,,,,,,,,
2014-01-24,,,,,,,,,,,,,,
2014-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-28,,,,,,,,,,,,,,
2014-01-29,,,,,,,,,,,,,,
2014-01-30,,,,,,,,,,,,,,
2014-01-31,,,,,,,,,,,,,,
2014-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-04,,,,,,,,,,,,,,
2014-02-05,,,,,,,,,,,,,,
2014-02-06,,,,,,,,,,,,,,
2014-02-07,,,,,,,,,,,,,,
2014-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-11,,,,,,,,,,,,,,
2014-02-12,,,,,,,,,,,,,,
2014-02-13,,,,,,,,,,,,,,
2014-02-14,,,,,,,,,,,,,,
2014-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-19,,,,,,,,,,,,,,
2014-02-20,,,,,,,,,,,,,,
2014-02-21,,,,,,,,,,,,,,
2014-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-25,,,,,,,,,,,,,,
2014-02-26,,,,,,,,,,,,,,
2014-02-27,,,,,,,,,,,,,,
2014-02-28,,,,,,,,,,,,,,
2014-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-04,,,,,,,,,,,,,,
2014-03-05,,,,,,,,,,,,,,
2014-03-06,,,,,,,,,,,,,,
2014-03-07,,,,,,,,,,,,,,
2014-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-11,,,,,,,,,,,,,,
2014-03-12,,,,,,,,,,,,,,
2014-03-13,,,,,,,,,,,,,,
2014-03-14,,,,,,,,,,,,,,
2014-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-18,,,,,,,,,,,,,,
2014-03-19,,,,,,,,,,,,,,
2014-03-20,,,,,,,,,,,,,,
2014-03-21,,,,,,,,,,,,,,
2014-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-25,,,,,,,,,,,,,,
2014-03-26,,,,,,,,,,,,,,
2014-03-27,,,,,,,,,,,,,,
2014-03-28,,,,,,,,,,,,,,
2014-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-01,,,,,,,,,,,,,,
2014-04-02,,,,,,,,,,,,,,
2014-04-03,,,,,,,,,,,,,,
2014-04-04,,,,,,,,,,,,,,
2014-04-07,-0.09086508259551837,-0.060415952112914666,-0.08839182882514811,-0.024195916511367634,-0.23203706608718458,-0.26046137047921814,0.16081498969792898,0.14322976153815195,0.18665933415824168,-0.18901079551861408,0.23616143216043908,0.12948897748656546,-0.11089321664482878,-0.0873742761838785
2014-04-08,,,,,,,,,,,,,,
2014-04-09,,,,,,,,,,,,,,
2014-04-10,,,,,,,,,,,,,,
2014-04-11,,,,,,,,,,,,,,
2014-04-14,-0.092261306475831,-0.06404621585777387,0.08883208488383289,0.02498897794129708,-0.22757534895056244,0.2525358932073861,-0.15892869732608925,0.1464761233039531,0.1940093647831463,-0.18934874201454774,0.24898277509834124,0.1292383387215149,-0.10358364953932149,-0.0791924818964026
2014-04-15,,,,,,,,,,,,,,
2014-04-16,,,,,,,,,,,,,,
2014-04-17,,,,,,,,,,,,,,
